	NCBI sample classification	NCBI sample classification_units	accession	analysis-completed	bacterial carbon production	bacterial carbon production_units	bacterialcarbon production	bacterialcarbon production_units	biosample	collection date	collection date_units	collection time	collection time_units	collection-date	density	density_units	depth	depth_units	dissolved inorganic carbon	dissolved inorganic carbon_units	dissolved oxygen	dissolved oxygen_units	environment-biome	environment-feature	environment-material	environmental package	environmental package_units	fluorescence	fluorescence_units	geo-loc-name	host-tax-id	id	instrument model	instrument model_units	investigation type	investigation type_units	last-update	latitude	longitude	maximum filter size	maximum filter size_units	minimum filter size	minimum filter size_units	oxygen saturation	oxygen saturation_units	photosynthetically active radiation	photosynthetically active radiation_units	potential density	potential density_units	pressure	pressure_units	salinity	salinity_units	sample-alias	sample-desc	sample-name	sampling cruise	sampling cruise_units	sampling site	sampling site_units	samplingcruise	samplingcruise_units	sequencing method	sequencing method_units	species	temperature	temperature_units	turbidity	turbidity_units	type	volume of sample	volume of sample_units
0	1169740		SRS565747	2014-05-09	112.48	pmol leu/L/hr			SAMN02628401	2010-05-25		0755		2010-05-25	1019.80	kgm-2	4.47	m	1802	&micro;mol/kg	196.25	&micro;mol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water		0.61 mgm-3		Western Tropical North Atlantic Ocean		SRS565747	Illumina Genome Analyzer IIx		metagenome		2015-08-13T15:30:57	10.29	-54.51	156	&micro;m	2.0	&micro;m	98.70	%	16.71	&micro;Em-2sec-1	19.78		4.50	Db	31.80	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM1	R/V Knorr, May-June 2010		Station 2				Illumina PE 150x150			28.63	&deg;C	1.17	NTU	samples	10.8	L
1	1169740		SRS565748	2014-05-09	112.48	pmol leu/L/hr			SAMN02628404	2010-05-25		0755		2010-05-25	1019.80	kgm-2	4.47	m	1802	&micro;mol/kg	196.25	&micro;mol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water		0.61 mgm-3		Western Tropical North Atlantic Ocean		SRS565748	Illumina Genome Analyzer IIx		metagenome		2015-08-13T15:30:57	10.29	-54.51	2.0	&micro;m	0.2	&micro;m	98.70	%	16.71	&micro;Em-2sec-1	19.78		4.50	Db	31.80	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM2	R/V Knorr, May-June 2010		Station 2				Illumina PE 150x150			28.63	&deg;C	1.17	NTU	samples	10.8	L
2	1169740		SRS565994	2014-05-09	16.11	pmol leu/L/hr			SAMN02628419	2010-06-21		0843		2010-06-21	1023.05	kgm-2	3.89	m	2005	&micro;mol/kg	188.39	&micro;mol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water		0.01 mgm-3		Western Tropical North Atlantic Ocean		SRS565994	Illumina Genome Analyzer IIx		metagenome		2015-08-13T15:30:57	12.41	-52.22	156	&micro;m	2.0	&micro;m	96.95	%	80.36	&micro;Em-2sec-1	23.04		3.92	Db	36.03	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM5	R/V Knorr, May-June 2010		Station 27				Illumina PE 150x150			28.40	&deg;C	1.07	NTU	samples	10.1	L
3	1169740		SRS565995	2014-05-09	16.11	pmol leu/L/hr			SAMN02628424	2010-06-21		0755		2010-06-21	1023.05	kgm-2	3.89	m	2005	&micro;mol/kg	188.39	&micro;mol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water		0.01 mgm-3		Western Tropical North Atlantic Ocean		SRS565995	Illumina Genome Analyzer IIx		metagenome		2015-08-13T15:30:57	12.41	-52.22	2.0	&micro;m	0.2	&micro;m	96.95	%	80.36	&micro;Em-2sec-1	23.04		3.92	Db	36.03	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM6	R/V Knorr, May-June 2010		Station 27				Illumina PE 150x150			28.40	&deg;C	1.07	NTU	samples	10	L
4	1169740		SRS567311	2014-05-09	139.68	pmol leu/L/hr			SAMN02628402	2010-05-26		0910		2010-05-26	1018.98	kgm-2	3.76	m	1846	&micro;mol/kg	188.26	&micro;mol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water		0.28 mgm-3		Western Tropical North Atlantic Ocean		SRS567311	Illumina Genome Analyzer IIx		metagenome		2015-08-13T15:30:57	7.29	-53.0	2.0	&micro;m	0.2	&micro;m	94.43	%	65.38	&micro;Em-2sec-1	18.97		3.78	Db	30.80	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM18	R/V Knorr, May-June 2010		Station 3				Illumina PE 150x150			28.85	&deg;C	1.12	NTU	samples	10.2	L
5	1169740		SRS567313	2014-05-09	139.68	pmol leu/L/hr			SAMN02628403	2010-05-26		0823		2010-05-26	1018.98	kgm-2	3.76	m	1846	&micro;mol/kg	188.26	&micro;mol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water		0.28 mgm-3		Western Tropical North Atlantic Ocean		SRS567313	Illumina Genome Analyzer IIx		metagenome		2015-08-13T15:30:57	7.29	-53.0	156	&micro;m	2.0	&micro;m	94.43	%	65.38	&micro;Em-2sec-1	18.97		3.78	Db	30.80	practical salinityunits	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM19	R/V Knorr, May-June 2010		Station 3				Illumina PE 150x150			28.85	&deg;C	1.12	NTU	samples	10.4	L
6	1169740		SRS567886	2014-05-08			79.80	pmol leu/L/hr	SAMN02628405	2010-06-16		0806		2010-06-16	1015.64	kgm-2	3.64	m	1576	&micro;mol/kg	194.25	&micro;mol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water		0.16 mgm-3		Western Tropical North Atlantic Ocean		SRS567886	Illumina Genome Analyzer IIx		metagenome		2015-08-13T15:30:57	10.68	-54.42	2.0	&micro;m	0.2	&micro;m	95.39	%	27.94	&micro;Em-2sec-1	15.62		3.66	Db	26.49	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM20	R/V Knorr, May-June 2010		Station 23				Illumina PE 150x150			29.22	&deg;C	1.10	NTU	samples	10	L
7	1169740		SRS577849	2014-05-09	112.48	pmol leu/L/hr			SAMN02628409	2010-05-25		0710		2010-05-25	1019.80	kgm-2	4.47	m	1802	&micro;mol/kg	196.25	&micro;mol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water		0.61 mgm-3		Western Tropical North Atlantic Ocean		SRS577849	IlluminaiSeq	M	metagenome		2015-08-13T15:30:57	10.29	-54.51	2.0	&micro;m	0.2	&micro;m	98.70	%	16.71	&micro;Em-2sec-1	19.78		4.50	Db	31.80	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM24	R/V Knorr, May-June 2010		Station 2				Illumina PE 150x150			28.63	&deg;C	1.17	NTU	samples	4.85	L
8	1169740		SRS577850	2014-05-08	327.96	pmol leu/L/hr			SAMN02628412	2010-06-05		0749		2010-06-05	1012.65	kgm-2	4.26	m	1373	&micro;mol/kg	251.56	&micro;mol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water		7.25 mgm-3		Western Tropical North Atlantic Ocean		SRS577850	Illumina Genome Analyzer IIx		metagenome		2015-08-13T15:30:57	4.88	-51.36	2.0	&micro;m	0.2	&micro;m	120.81	%	22.08	&micro;Em-2sec-1	12.63		4.28	Db	22.55	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM36	R/V Knorr, May-June 2010		Station 10				Illumina PE 150x150			29.36	&deg;C	3.02	NTU	samples	5.2	L
9	1169740		SRS577852	2014-05-09	139.68	pmol leu/L/hr			SAMN02628418	2010-05-26		1000		2010-05-26	1018.98	kgm-2	3.76	m	1846	&micro;mol/kg	188.26	&micro;mol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water		0.28 mgm-3		Western Tropical North Atlantic Ocean		SRS577852	Illumina Genome Analyzer IIx		metagenome		2015-08-13T15:30:57	7.29	-53.0	156	&micro;m	2.0	&micro;m	94.43	%	65.38	&micro;Em-2sec-1	18.97		3.78	Db	30.80	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM41	R/V Knorr, May-June 2010		Station 3				Illumina PE 150x150			28.85	&deg;C	1.12	NTU	samples	10.4	L
10	1169740		SRS580495	2014-05-09	112.48	pmol leu/L/hr			SAMN02628410	2010-05-25		0839		2010-05-25	1019.80	kgm-2	4.47	m	1802	&micro;mol/kg	196.25	&micro;mol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water		0.61 mgm-3		Western Tropical North Atlantic Ocean		SRS580495	Illumina Genome Analyzer IIx		metagenome		2015-08-13T15:30:57	10.29	-54.51	156	&micro;m	2.0	&micro;m	98.70	%	16.71	&micro;Em-2sec-1	19.78		4.50	Db	31.80	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM25	R/V Knorr, May-June 2010		Station 2				Illumina PE 150x150			28.63	&deg;C	1.17	NTU	samples	11.1	L
