	NCBI sample classification	accession	analysis-completed	bacterial carbon production	bacterial carbon production_units	bacterialcarbon production	bacterialcarbon production_units	biosample	collection date	collection time	collection-date	density	density_units	depth	depth_units	dissolved inorganic carbon	dissolved inorganic carbon_units	dissolved oxygen	dissolved oxygen_units	environment-biome	environment-feature	environment-material	environmental package	fluorescence	geo-loc-name	host-tax-id	id	id biome	id studies	instrument model	instrument model_units	investigation type	last-update	latitude	longitude	maximum filter size	maximum filter size_units	minimum filter size	minimum filter size_units	oxygen saturation	oxygen saturation_units	photosynthetically active radiation	photosynthetically active radiation_units	potential density	pressure	pressure_units	relationships links biome	relationships links runs	relationships links studies	relationships links studies self	salinity	salinity_units	sample-alias	sample-desc	sample-name	samples links self	sampling cruise	sampling site	samplingcruise	sequencing method	species	temperature	temperature_units	turbidity	turbidity_units	type	type biome	type studies	volume of sample	volume of sample_units
0	1169740	SRS565747	2014-05-09	112.48	pmol leu/L/hr			SAMN02628401	2010-05-25	0755	2010-05-25	1019.80	kgm-2	4.47	m	1802	μmol/kg	196.25	μmol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water	0.61 mgm-3	Western Tropical North Atlantic Ocean		SRS565747	root:Environmental:Aquatic:Marine:Oceanic	MGYS00000382	Illumina Genome Analyzer IIx		metagenome	2015-08-13T15:30:57	10.29	-54.51	156	μm	2.0	μm	98.70	%	16.71	μEm-2sec-1	19.78	4.50	Db	https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Oceanic	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS565747/runs	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS565747/studies	https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000382	31.80	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM1	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS565747	R/V Knorr, May-June 2010	Station 2		Illumina PE 150x150		28.63	C	1.17	NTU	samples	biomes	studies	10.8	L
1	1169740	SRS565748	2014-05-09	112.48	pmol leu/L/hr			SAMN02628404	2010-05-25	0755	2010-05-25	1019.80	kgm-2	4.47	m	1802	μmol/kg	196.25	μmol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water	0.61 mgm-3	Western Tropical North Atlantic Ocean		SRS565748	root:Environmental:Aquatic:Marine:Oceanic	MGYS00000382	Illumina Genome Analyzer IIx		metagenome	2015-08-13T15:30:57	10.29	-54.51	2.0	μm	0.2	μm	98.70	%	16.71	μEm-2sec-1	19.78	4.50	Db	https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Oceanic	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS565748/runs	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS565748/studies	https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000382	31.80	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM2	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS565748	R/V Knorr, May-June 2010	Station 2		Illumina PE 150x150		28.63	C	1.17	NTU	samples	biomes	studies	10.8	L
2	1169740	SRS565994	2014-05-09	16.11	pmol leu/L/hr			SAMN02628419	2010-06-21	0843	2010-06-21	1023.05	kgm-2	3.89	m	2005	μmol/kg	188.39	μmol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water	0.01 mgm-3	Western Tropical North Atlantic Ocean		SRS565994	root:Environmental:Aquatic:Marine:Oceanic	MGYS00000382	Illumina Genome Analyzer IIx		metagenome	2015-08-13T15:30:57	12.41	-52.22	156	μm	2.0	μm	96.95	%	80.36	μEm-2sec-1	23.04	3.92	Db	https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Oceanic	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS565994/runs	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS565994/studies	https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000382	36.03	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM5	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS565994	R/V Knorr, May-June 2010	Station 27		Illumina PE 150x150		28.40	C	1.07	NTU	samples	biomes	studies	10.1	L
3	1169740	SRS565995	2014-05-09	16.11	pmol leu/L/hr			SAMN02628424	2010-06-21	0755	2010-06-21	1023.05	kgm-2	3.89	m	2005	μmol/kg	188.39	μmol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water	0.01 mgm-3	Western Tropical North Atlantic Ocean		SRS565995	root:Environmental:Aquatic:Marine:Oceanic	MGYS00000382	Illumina Genome Analyzer IIx		metagenome	2015-08-13T15:30:57	12.41	-52.22	2.0	μm	0.2	μm	96.95	%	80.36	μEm-2sec-1	23.04	3.92	Db	https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Oceanic	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS565995/runs	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS565995/studies	https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000382	36.03	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM6	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS565995	R/V Knorr, May-June 2010	Station 27		Illumina PE 150x150		28.40	C	1.07	NTU	samples	biomes	studies	10	L
4	1169740	SRS567311	2014-05-09	139.68	pmol leu/L/hr			SAMN02628402	2010-05-26	0910	2010-05-26	1018.98	kgm-2	3.76	m	1846	μmol/kg	188.26	μmol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water	0.28 mgm-3	Western Tropical North Atlantic Ocean		SRS567311	root:Environmental:Aquatic:Marine:Oceanic	MGYS00000382	Illumina Genome Analyzer IIx		metagenome	2015-08-13T15:30:57	7.29	-53.0	2.0	μm	0.2	μm	94.43	%	65.38	μEm-2sec-1	18.97	3.78	Db	https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Oceanic	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS567311/runs	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS567311/studies	https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000382	30.80	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM18	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS567311	R/V Knorr, May-June 2010	Station 3		Illumina PE 150x150		28.85	C	1.12	NTU	samples	biomes	studies	10.2	L
5	1169740	SRS567313	2014-05-09	139.68	pmol leu/L/hr			SAMN02628403	2010-05-26	0823	2010-05-26	1018.98	kgm-2	3.76	m	1846	μmol/kg	188.26	μmol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water	0.28 mgm-3	Western Tropical North Atlantic Ocean		SRS567313	root:Environmental:Aquatic:Marine:Oceanic	MGYS00000382	Illumina Genome Analyzer IIx		metagenome	2015-08-13T15:30:57	7.29	-53.0	156	μm	2.0	μm	94.43	%	65.38	μEm-2sec-1	18.97	3.78	Db	https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Oceanic	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS567313/runs	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS567313/studies	https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000382	30.80	practical salinityunits	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM19	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS567313	R/V Knorr, May-June 2010	Station 3		Illumina PE 150x150		28.85	C	1.12	NTU	samples	biomes	studies	10.4	L
6	1169740	SRS567886	2014-05-08			79.80	pmol leu/L/hr	SAMN02628405	2010-06-16	0806	2010-06-16	1015.64	kgm-2	3.64	m	1576	μmol/kg	194.25	μmol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water	0.16 mgm-3	Western Tropical North Atlantic Ocean		SRS567886	root:Environmental:Aquatic:Marine:Oceanic	MGYS00000382	Illumina Genome Analyzer IIx		metagenome	2015-08-13T15:30:57	10.68	-54.42	2.0	μm	0.2	μm	95.39	%	27.94	μEm-2sec-1	15.62	3.66	Db	https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Oceanic	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS567886/runs	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS567886/studies	https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000382	26.49	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM20	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS567886	R/V Knorr, May-June 2010	Station 23		Illumina PE 150x150		29.22	C	1.10	NTU	samples	biomes	studies	10	L
7	1169740	SRS577849	2014-05-09	112.48	pmol leu/L/hr			SAMN02628409	2010-05-25	0710	2010-05-25	1019.80	kgm-2	4.47	m	1802	μmol/kg	196.25	μmol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water	0.61 mgm-3	Western Tropical North Atlantic Ocean		SRS577849	root:Environmental:Aquatic:Marine:Oceanic	MGYS00000382	IlluminaiSeq	M	metagenome	2015-08-13T15:30:57	10.29	-54.51	2.0	μm	0.2	μm	98.70	%	16.71	μEm-2sec-1	19.78	4.50	Db	https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Oceanic	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS577849/runs	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS577849/studies	https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000382	31.80	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM24	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS577849	R/V Knorr, May-June 2010	Station 2		Illumina PE 150x150		28.63	C	1.17	NTU	samples	biomes	studies	4.85	L
8	1169740	SRS577850	2014-05-08	327.96	pmol leu/L/hr			SAMN02628412	2010-06-05	0749	2010-06-05	1012.65	kgm-2	4.26	m	1373	μmol/kg	251.56	μmol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water	7.25 mgm-3	Western Tropical North Atlantic Ocean		SRS577850	root:Environmental:Aquatic:Marine:Oceanic	MGYS00000382	Illumina Genome Analyzer IIx		metagenome	2015-08-13T15:30:57	4.88	-51.36	2.0	μm	0.2	μm	120.81	%	22.08	μEm-2sec-1	12.63	4.28	Db	https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Oceanic	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS577850/runs	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS577850/studies	https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000382	22.55	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM36	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS577850	R/V Knorr, May-June 2010	Station 10		Illumina PE 150x150		29.36	C	3.02	NTU	samples	biomes	studies	5.2	L
9	1169740	SRS577852	2014-05-09	139.68	pmol leu/L/hr			SAMN02628418	2010-05-26	1000	2010-05-26	1018.98	kgm-2	3.76	m	1846	μmol/kg	188.26	μmol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water	0.28 mgm-3	Western Tropical North Atlantic Ocean		SRS577852	root:Environmental:Aquatic:Marine:Oceanic	MGYS00000382	Illumina Genome Analyzer IIx		metagenome	2015-08-13T15:30:57	7.29	-53.0	156	μm	2.0	μm	94.43	%	65.38	μEm-2sec-1	18.97	3.78	Db	https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Oceanic	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS577852/runs	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS577852/studies	https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000382	30.80	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM41	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS577852	R/V Knorr, May-June 2010	Station 3		Illumina PE 150x150		28.85	C	1.12	NTU	samples	biomes	studies	10.4	L
